FID,OBJECTID,SHAPE,SE_ANNO_CAD_DATA
HYDRANTOGD.3323667,3323667,POINT (16.340275240173096 48.24653104470996),
HYDRANTOGD.3323668,3323668,POINT (16.331031969834783 48.19131282910401),
HYDRANTOGD.3323669,3323669,POINT (16.391513625647548 48.218693063683645),
HYDRANTOGD.3323670,3323670,POINT (16.354340979366032 48.209980259571715),
HYDRANTOGD.3323671,3323671,POINT (16.2708338688305 48.154615627282354),
HYDRANTOGD.3323672,3323672,POINT (16.272195380419863 48.21610776063798),
HYDRANTOGD.3323673,3323673,POINT (16.467669870803295 48.15365645503341),
HYDRANTOGD.3323674,3323674,POINT (16.283505398220758 48.15504902883614),
HYDRANTOGD.3323675,3323675,POINT (16.40586747604329 48.28008509223194),
HYDRANTOGD.3323676,3323676,POINT (16.305429448233728 48.209760546463336),
HYDRANTOGD.3323677,3323677,POINT (16.43065948178864 48.16873375725533),
HYDRANTOGD.3323678,3323678,POINT (16.286675193613505 48.22918585971634),
HYDRANTOGD.3323679,3323679,POINT (16.383454678232056 48.185553848251075),
HYDRANTOGD.3323680,3323680,POINT (16.485373927246098 48.25536783297536),
HYDRANTOGD.3323681,3323681,POINT (16.4342659115669 48.24715628605629),
HYDRANTOGD.3323682,3323682,POINT (16.28548308592948 48.183844556865665),
HYDRANTOGD.3323683,3323683,POINT (16.335835719710406 48.22186016158239),
HYDRANTOGD.3323684,3323684,POINT (16.36545050188983 48.224420022827445),
HYDRANTOGD.3323685,3323685,POINT (16.278907948117798 48.16570213103463),
HYDRANTOGD.3323686,3323686,POINT (16.33514340570554 48.21634258478259),
HYDRANTOGD.3323687,3323687,POINT (16.341617234271066 48.18068516576529),
HYDRANTOGD.3323688,3323688,POINT (16.459066097472874 48.25424310251119),
HYDRANTOGD.3323689,3323689,POINT (16.42467481943275 48.269052922974915),
HYDRANTOGD.3323690,3323690,POINT (16.505803554942382 48.20621551097346),
HYDRANTOGD.3323691,3323691,POINT (16.347787902636483 48.20626804468043),
HYDRANTOGD.3323692,3323692,POINT (16.413797415482215 48.17964280396211),
HYDRANTOGD.3323693,3323693,POINT (16.32452100967409 48.235607718994366),
HYDRANTOGD.3323694,3323694,POINT (16.3267712947426 48.199803895697315),
HYDRANTOGD.3323695,3323695,POINT (16.356095634958297 48.20330369768227),
HYDRANTOGD.3323696,3323696,POINT (16.374500460094982 48.17338635375748),
HYDRANTOGD.3323697,3323697,POINT (16.422119042647218 48.289154907623626),
HYDRANTOGD.3323698,3323698,POINT (16.25808195632607 48.20044292191573),
HYDRANTOGD.3323699,3323699,POINT (16.287673723444172 48.22386040116669),
HYDRANTOGD.3323700,3323700,POINT (16.447838327940502 48.27531323445249),
HYDRANTOGD.3323701,3323701,POINT (16.35003826116627 48.14262753314517),
HYDRANTOGD.3323702,3323702,POINT (16.37393139967396 48.17549959204064),
HYDRANTOGD.3323703,3323703,POINT (16.33984476376859 48.218965741260064),
HYDRANTOGD.3323704,3323704,POINT (16.414397456016566 48.29590233345817),
HYDRANTOGD.3323705,3323705,POINT (16.39660509507393 48.203030592367426),
HYDRANTOGD.3323706,3323706,POINT (16.31501606790636 48.12834924856525),
HYDRANTOGD.3323707,3323707,POINT (16.315730745738133 48.1674533824994),
HYDRANTOGD.3323708,3323708,POINT (16.342974179976693 48.19360869473478),
HYDRANTOGD.3323709,3323709,POINT (16.375503039687683 48.23527199302767),
HYDRANTOGD.3323710,3323710,POINT (16.355453148207467 48.18029425693441),
HYDRANTOGD.3323711,3323711,POINT (16.350920763378134 48.199645972878955),
HYDRANTOGD.3323712,3323712,POINT (16.487008493067357 48.205427342800384),
HYDRANTOGD.3323713,3323713,POINT (16.37022863814599 48.21930525100571),
HYDRANTOGD.3323714,3323714,POINT (16.241128113850195 48.20582608568782),
HYDRANTOGD.3323715,3323715,POINT (16.332243418142316 48.14523565181864),
HYDRANTOGD.3323716,3323716,POINT (16.43719609920244 48.25205891632268),
HYDRANTOGD.3323717,3323717,POINT (16.393725323299556 48.266603343370825),
HYDRANTOGD.3323718,3323718,POINT (16.437269599910632 48.24130624827183),
HYDRANTOGD.3323719,3323719,POINT (16.293371778713276 48.16562198646303),
HYDRANTOGD.3323720,3323720,POINT (16.45473142071243 48.22434325259264),
HYDRANTOGD.3323721,3323721,POINT (16.36614647520998 48.256436690534166),
HYDRANTOGD.3323722,3323722,POINT (16.31665240564572 48.242474971294286),
HYDRANTOGD.3323723,3323723,POINT (16.26646389081629 48.14903463134194),
HYDRANTOGD.3323724,3323724,POINT (16.323825248432158 48.141358610428156),
HYDRANTOGD.3323725,3323725,POINT (16.276704061927195 48.150539822821145),
HYDRANTOGD.3323726,3323726,POINT (16.382688436377954 48.21601540090011),
HYDRANTOGD.3323727,3323727,POINT (16.416052899270955 48.16292259738101),
HYDRANTOGD.3323728,3323728,POINT (16.28235866682415 48.1559416195688),
HYDRANTOGD.3323729,3323729,POINT (16.390108873023056 48.26728096665326),
HYDRANTOGD.3323730,3323730,POINT (16.316992628741797 48.206511336731495),
HYDRANTOGD.3323731,3323731,POINT (16.395071961695926 48.207222302499716),
HYDRANTOGD.3323732,3323732,POINT (16.350754907282617 48.22458594566792),
HYDRANTOGD.3323733,3323733,POINT (16.430699938330896 48.23941430917331),
HYDRANTOGD.3323734,3323734,POINT (16.441537497712044 48.23040527214439),
HYDRANTOGD.3323735,3323735,POINT (16.36602506219793 48.163390821735675),
HYDRANTOGD.3323736,3323736,POINT (16.311187113843296 48.21373089228813),
HYDRANTOGD.3323737,3323737,POINT (16.369488074976534 48.18063691084112),
HYDRANTOGD.3323738,3323738,POINT (16.29064815581689 48.16545888462772),
HYDRANTOGD.3323739,3323739,POINT (16.330465299895838 48.25053651959646),
HYDRANTOGD.3323740,3323740,POINT (16.42678431535618 48.24418840856458),
HYDRANTOGD.3323741,3323741,POINT (16.372961083249333 48.2014422554445),
HYDRANTOGD.3323742,3323742,POINT (16.263140799371435 48.20398164341442),
HYDRANTOGD.3323743,3323743,POINT (16.391700606693526 48.26901695159045),
HYDRANTOGD.3323744,3323744,POINT (16.283810874237687 48.144614277679),
HYDRANTOGD.3323745,3323745,POINT (16.31821910707998 48.16338803964745),
